Sample	lat	long	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1426.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	1000	33.7088
E1845.OC0623	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jun	2023_Jun	OCNMS	Niskin	1000	33.5256
E1846.OC0623	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jun	2023_Jun	OCNMS	Niskin	1000	34.1672
E1847.OC0623	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jun	2023_Jun	OCNMS	Niskin	1000	34.1672
E1849.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1000	34
E1850.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1851.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1852.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1853.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1854.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1855.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1856.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
E1857.OC0723	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2023	Jul	2023_Jul	OCNMS	PPS	1001	34
