ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2292	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiuridae	Ophiura	Ophiura luetkenii
ASV_2296	Eukaryota	Porifera	Demospongiae	Polymastiida	Polymastiidae	Polymastia	Polymastia littoralis
ASV_2297	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	NA	NA
ASV_23	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA
ASV_230	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiolus	NA
ASV_2300	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2302	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionibacterium	NA
ASV_2305	Eukaryota	Chordata	Mammalia	Proboscidea	NA	NA	NA
ASV_231	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_2313	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Clausophyidae	Chuniphyes	Chuniphyes multidentata
ASV_2317	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium impudicum
ASV_232	Eukaryota	Echinodermata	Asteroidea	Velatida	Pterasteridae	NA	NA
ASV_2321	Eukaryota	Porifera	Demospongiae	Suberitida	NA	NA	NA
ASV_233	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2331	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	NA	NA	NA
ASV_2335	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2336	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA	NA
ASV_2337	Eukaryota	Nemertea	Enopla	Monostilifera	Ototyphlonemertidae	NA	NA
ASV_2339	Eukaryota	Porifera	Demospongiae	NA	NA	NA	NA
ASV_234	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_2340	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2342	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_2344	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	NA	NA	NA
ASV_2346	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_235	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2350	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2359	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum
ASV_236	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_2361	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea coerulescens
ASV_2363	Eukaryota	Arthropoda	Insecta	Coleoptera	NA	NA	NA
ASV_2365	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon sp_ UF_53625
ASV_2366	Eukaryota	Mollusca	Bivalvia	Cardiida	Solecurtidae	Sinonovacula	NA
ASV_237	Eukaryota	Echinodermata	Holothuroidea	Elasipodida	Laetmogonidae	Benthogone	Benthogone abstrusa
ASV_2370	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2371	Eukaryota	Arthropoda	Malacostraca	Cumacea	Lampropidae	NA	NA
