reads.in	reads.out
MP_E2139_2T_QiavacTest_R1_trimmed.fq.gz	173674	150658
MP_E2139_3T_QiavacTest_R1_trimmed.fq.gz	189973	164861
MP_E2139_4T_QiavacTest_R1_trimmed.fq.gz	180023	149448
MP_E2140_Kotzebue23_R1_trimmed.fq.gz	181638	155305
MP_E2141_Kotzebue23_R1_trimmed.fq.gz	216853	200110
MP_E24_NC_DY20_R1_trimmed.fq.gz	55571	49548
MP_E41_NC_DY20_R1_trimmed.fq.gz	25440	13904
MP_E56_NC_DY20_R1_trimmed.fq.gz	344	322
MP_E73_NC_DY20_R1_trimmed.fq.gz	119168	48400
MP_E232_NC_NO20_R1_trimmed.fq.gz	19892	8141
MP_E301_NC_NO20_R1_trimmed.fq.gz	38143	35346
MP_E309_NC_RC56_R1_trimmed.fq.gz	25882	9837
MP_Mid_NC_SKQ21_R1_trimmed.fq.gz	20737	3559
MP_Blank1C_QiavacTest_R1_trimmed.fq.gz	8654	7953
MP_Blank3Q_QiavacTest_R1_trimmed.fq.gz	18571	4312
MP_POSITIVE_R1_trimmed.fq.gz	143393	129687
