ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10186	Eukaryota	Cercozoa	Glissomonadida__c	Glissomonadida	Viridiraptoridae	NA	NA
ASV_10187	Unknown	NA	NA	NA	NA	NA	NA
ASV_10188	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_10189	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	Pseliodinium	NA
ASV_1019	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo_nitzschia	NA
ASV_10190	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10191	Eukaryota	Ciliophora	Nassophorea	Synhymeniida	NA	NA	NA
ASV_10192	Unknown	NA	NA	NA	NA	NA	NA
ASV_10193	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10194	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa pygmaea
ASV_10195	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum sp_ RCC5704
ASV_10196	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_10197	Unknown	NA	NA	NA	NA	NA	NA
ASV_10198	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium sp_
ASV_10199	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_102	Eukaryota	Picozoa	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas sp_
ASV_1020	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	NA
ASV_10200	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	NA	NA
ASV_10201	Unknown	NA	NA	NA	NA	NA	NA
ASV_10202	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	Pseliodinium	Pseliodinium fusus
ASV_10203	Unknown	NA	NA	NA	NA	NA	NA
ASV_10204	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	NA	NA	NA
ASV_10205	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
ASV_10206	Eukaryota	Ciliophora	Nassophorea	Synhymeniida	NA	NA	NA
ASV_10207	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_10208	Eukaryota	Ciliophora	Oligohymenophorea	NA	NA	NA	NA
ASV_10209	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Rhopilema	Rhopilema nomadica
ASV_1021	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	NA
