x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_170	5423	652	9695	14634	9203	11868	2420	3221	1033	930	1457	1888	98	128	0	0	76	43	34863	21594	65868	65913	62791	62025	2	0	0	0	4	0
ASV_172	6	0	0	0	47	227	0	3	0	7	0	4	108	124	47	0	0	0	77	0	84	107	31	0	0	0	0	0	0	0
ASV_173	126	255	6143	13178	8389	14691	61	210	24	95	372	0	5	2	7004	21440	8154	11923	6130	5763	6158	20198	8692	16316	0	0	0	0	0	0
ASV_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0
ASV_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	0	0	0
ASV_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	295	0	38	22	22	0	0	0	0	0	0
ASV_178	0	0	0	0	157	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	330	12683	19375	0	0	0	0	0	0	0	0
ASV_181	0	39	12	35	155	262	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_184	0	0	0	0	0	0	0	0	0	0	0	0	0	1	248	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	3589	378	1910	3494	1555	3334	0	2	4	12	1	12	0	0	6565	7890	3157	3023	4627	2477	4126	3534	3578	3962	2684	2903	3236	3844	3921	2989
ASV_194	0	0	0	302	0	0	4	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
ASV_200	0	0	0	0	0	0	0	0	0	0	0	0	41	34	0	140	0	0	0	0	213	0	0	0	0	0	0	0	0	0
ASV_201	0	0	106	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	165	0	0	0	0	0	0	0	0
ASV_206	0	0	0	0	459	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	62	0	0	94	83	164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_208	0	0	60	0	260	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	95	44	57	550	1615	1325	0	0	17	18	8	18	244	229	718	998	594	601	3063	819	1138	386	1339	1972	666	395	5913	5338	602	579
