Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1785.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,1:37,NA,NA,52,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,30,56°54.46' N,164°50.17' W,1000,Shannon Brown,Sampled last on niskins
E1786.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,1:37,NA,NA,52,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,10,56°54.46' N,164°50.17' W,1000,Shannon Brown,Sampled last on niskins
E1787.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,4:23,NA,NA,54,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,68,56°45.96' N,164°20.09' W,1000,Shannon Brown,
E1788.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,4:23,NA,NA,54,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,30,56°45.96' N,164°20.09' W,1000,Shannon Brown,
E1789.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,4:23,NA,NA,54,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,10,56°45.96' N,164°20.09' W,1000,Shannon Brown,
E1790.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,8:35,NA,NA,56,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,64,56°56.56' N,163°50.12' W,1000,Shannon Brown,
E1791.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,8:35,NA,NA,56,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,30,56°56.56' N,163°50.12' W,1000,Shannon Brown,
E1792.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,8:35,NA,NA,56,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,10,56°56.56' N,163°50.12' W,1000,Shannon Brown,
E1793.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,14:49,NA,NA,58,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,68,56°52.35' N,164°03.25' W,1000,Shannon Brown,Stored in fridge for ~14 hours before filtering
E1794.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,14:49,NA,NA,58,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,30,56°52.35' N,164°03.25' W,1000,Shannon Brown,Stored in fridge for ~14 hours before filtering
E1795.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/29/2023,NA,14:49,NA,NA,58,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,10,56°52.35' N,164°03.25' W,1000,Shannon Brown,Stored in fridge for ~14 hours before filtering
E1797.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/30/2023,NA,14:14,NA,NA,64,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,64,56°51.86' N,164°02.96' W,1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering
E1796.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/30/2023,NA,14:14,NA,NA,64,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,30,56°51.86' N,164°02.96' W,1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering
