% Cruise_CSN    Bottle        Date                PrDM      DepSM      T090C      T190C      C0S/m      C1S/m      C1S/m         V0         V1         V2         V3         V4         V5         V6         V7  FlECO-AFL   CStarAt0   CStarTr0        Par Sbox0Mm/Kg Sbox1Mm/Kg   Latitude  Longitude       Sal00      Sal11  Sigma-t00  Sigma-t11    
SKQ202312S_003      19    2023 09 15 08 26 42    1.329      1.316     7.3339     7.3360   3.158205   3.160433   3.160433     0.1769     4.0840     0.8153     0.0000     2.6668     2.6551     3.9650     0.0000     0.7132     0.5725    86.6643 6.6108e-01    293.406    276.521   62.04998 -175.20984     30.6517    30.6738    23.9517    23.9688  
SKQ202312S_003      20    2023 09 15 08 26 47    1.341      1.329     7.3333     7.3352   3.158159   3.160375   3.160375     0.1796     4.0831     0.8346     0.0000     2.6665     2.6548     3.9934     0.0000     0.7298     0.5734    86.6469 6.7705e-01    293.163    276.374   62.04998 -175.20984     30.6517    30.6739    23.9518    23.9689  
SKQ202312S_003      21    2023 09 15 08 26 53    1.229      1.217     7.3324     7.3343   3.158080   3.160295   3.160295     0.1764     4.0861     0.8022     0.0000     2.6658     2.6558     3.9795     0.0000     0.7107     0.5705    86.7093 6.3014e-01    293.106    276.645   62.04998 -175.20984     30.6518    30.6739    23.9520    23.9691  
SKQ202312S_005       1    2023 09 15 22 19 27   65.981     65.336    -1.5235    -1.5231   2.552199   2.553012   2.553012     0.0738     3.6603     0.0344     0.0000     2.1320     2.1495     0.5645     0.0000     0.0946     1.0108    77.6698 5.9414e-03    284.281    271.487   62.38978 -174.56960     31.8990    31.9097    25.6541    25.6628  
SKQ202312S_005       2    2023 09 15 22 19 37   65.877     65.233    -1.5234    -1.5225   2.552219   2.553031   2.553031     0.0741     3.6645     0.0257     0.0000     2.1314     2.1474     0.2245     0.0000     0.0966     1.0063    77.7587 3.5582e-03    283.976    271.017   62.38978 -174.56960     31.8993    31.9095    25.6544    25.6626  
SKQ202312S_005       3    2023 09 15 22 19 45   66.140     65.494    -1.5246    -1.5236   2.552151   2.552975   2.552975     0.0818     3.6643     0.0201     0.0000     2.1293     2.1484     3.4574     0.0000     0.1431     1.0065    77.7544 1.9611e-03    283.861    271.602   62.38978 -174.56960     31.8994    31.9097    25.6545    25.6628  
SKQ202312S_005       4    2023 09 15 22 22 19   50.839     50.344    -1.5345    -1.5332   2.548985   2.549827   2.549827     0.0710     3.6856     0.7410     0.0000     2.1181     2.1357     0.9971     0.0000     0.0784     0.9833    78.2067 5.1498e-01    281.642    269.132   62.38978 -174.56959     31.8757    31.8859    25.6355    25.6437  
SKQ202312S_005       5    2023 09 15 22 22 27   50.656     50.163    -1.5340    -1.5324   2.549019   2.549906   2.549906     0.0697     3.6847     0.7209     0.0000     2.1173     2.1360     1.0008     0.0000     0.0699     0.9843    78.1871 4.8625e-01    280.999    268.897   62.38978 -174.56960     31.8758    31.8862    25.6355    25.6440  
SKQ202312S_005       6    2023 09 15 22 24 48   40.441     40.048    -1.5348    -1.5335   2.548166   2.549018   2.549018     0.0713     3.6877     1.3841     0.0000     2.1192     2.1362     1.5130     0.0000     0.0799     0.9810    78.2511 2.6666e+00    281.324    268.864   62.38978 -174.56960     31.8711    31.8814    25.6317    25.6401  
SKQ202312S_005       7    2023 09 15 22 24 59   40.754     40.359    -1.5348    -1.5336   2.548190   2.549035   2.549035     0.0730     3.6901     1.3887     0.0000     2.1197     2.1356     1.5001     0.0000     0.0904     0.9783    78.3035 2.6960e+00    281.387    268.951   62.38978 -174.56958     31.8712    31.8815    25.6318    25.6402  
SKQ202312S_005       8    2023 09 15 22 25 07   40.878     40.482    -1.5349    -1.5336   2.548190   2.549037   2.549037     0.0736     3.6886     1.3815     0.0000     2.1195     2.1342     1.4981     0.0000     0.0935     0.9799    78.2723 2.6496e+00    281.322    268.357   62.38978 -174.56958     31.8713    31.8815    25.6319    25.6402  
SKQ202312S_005       9    2023 09 15 22 27 19   30.383     30.089    -0.9640    -0.9747   2.581062   2.581053   2.581053     0.1271     4.2521     1.6785     0.0000     2.6913     2.7260     2.0260     0.0000     0.4147     0.4111    90.2341 5.3668e+00    372.550    357.756   62.38978 -174.56960     31.7182    31.7293    25.4929    25.5022  
SKQ202312S_005      10    2023 09 15 22 27 28   30.203     29.910    -0.9602    -0.9450   2.581619   2.583172   2.583172     0.1255     4.2554     1.6929     0.0000     2.6983     2.7318     2.0280     0.0000     0.4052     0.4080    90.3029 5.5519e+00    375.048    359.593   62.38978 -174.56960     31.7218    31.7267    25.4957    25.4992  
SKQ202312S_005      11    2023 09 15 22 27 35   30.295     30.002    -0.9704    -0.9566   2.580975   2.582449   2.582449     0.1183     4.2568     1.6767     0.0000     2.7008     2.7425     2.0262     0.0000     0.3614     0.4067    90.3320 5.3442e+00    375.096    361.800   62.38978 -174.56960     31.7238    31.7291    25.4976    25.5015  
SKQ202312S_005      12    2023 09 15 22 30 00   24.399     24.163     2.2260     2.1159   2.816065   2.809005   2.809005     0.1948     4.1170     1.5976     0.0000     2.9187     2.9175     2.3230     0.0000     0.8207     0.5403    87.3652 4.5558e+00    373.131    346.471   62.38978 -174.56960     31.4905    31.5125    25.1447    25.1703  
