time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),transmissometry (percent),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2023-09-14T13:19:49Z,59.0,62.19483,-174.67366,NaN,31.8382,31.8506,25.604776,25.614819,0.0901,2.9271E-6,-1.5241,78.52591,291.64746,293.09958,-1.523,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,60.0,62.19483,-174.67366,NaN,31.838,31.8505,25.604618,25.61474,0.0885,2.1803E-6,-1.5243,78.545166,291.72104,291.92453,-1.5231,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,61.0,62.19483,-174.67366,NaN,31.8375,31.8495,25.604193,25.613901,0.0838,3.0377E-6,-1.5234,78.64802,292.0971,293.1072,-1.5219,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,62.0,62.19483,-174.67366,NaN,31.8364,31.8472,25.603275,25.611994,0.092,2.7322E-6,-1.5223,78.33781,290.93884,292.04312,-1.5201,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,63.0,62.19483,-174.67366,NaN,31.837,31.8482,25.603807,25.612873,0.0875,3.1691E-6,-1.5243,78.30131,290.81763,291.86252,-1.5231,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,64.0,62.19483,-174.67366,NaN,31.8369,31.8478,25.603697,25.612473,0.0889,4.4431E-6,-1.523,78.31153,290.8456,291.96808,-1.5197,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,65.0,62.19483,-174.67366,NaN,31.8371,31.8482,25.603874,25.612864,0.0939,2.9175E-6,-1.5237,78.28786,290.76273,291.64603,-1.5227,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,66.0,62.19483,-174.67366,NaN,31.8371,31.8479,25.60386,25.612587,0.0908,3.2403E-6,-1.5231,78.37616,291.08597,292.23245,-1.5212,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,67.0,62.19483,-174.67366,NaN,31.8367,31.8478,25.603481,25.612484,0.087,2.4984E-6,-1.5206,78.33741,290.9233,292.0181,-1.5202,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,68.0,62.19483,-174.67366,1.0,31.8369,31.8478,25.603642,25.612476,0.0832,3.6558E-6,-1.5205,78.342766,290.94196,292.19653,-1.5199,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,41.1,1.905,0.04,13.0,2.77,NaN,NaN,NaN,NaN,NaN
