Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1519.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,22:19,14:39,NA,43,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS2,10.4,58.13,-136.55194,1000,Kesten Bozinovic,
E1520.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,0:09,16:12,NA,45,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS4,102.4,58.17,-136.61379,1000,Kesten Bozinovic,
E1521.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,0:09,16:14,NA,45,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS4,50.8,58.17,-136.61292,1000,Kesten Bozinovic,
E1522.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,0:09,16:17,NA,45,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS4,3.5,58.17,-136.6114,1000,Kesten Bozinovic,
E1523.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,4:29,20:34,NA,46,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM30,162.7,58.01,-137.73272,~500,Kesten Bozinovic,"filter air locked, ~500mL filtered through processed sample"
E1524.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,4:29,20:38,NA,46,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM30,50.4,58.01,-137.73289,1000,Kesten Bozinovic,
E1525.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,4:29,20:41,NA,46,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM30,2.6,58.01,-137.73326,1000,Kesten Bozinovic,
E1526.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,7:25,23:29,NA,48,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM10,112.3,58.17,-137.22258,1000,Kesten Bozinovic,
E1527.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,7:25,23:31,NA,48,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM10,50.7,58.17,-137.22313,1000,Kesten Bozinovic,
E1528.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/18/22,7:25,23:34,NA,48,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM10,3.2,58.17,-137.22379,1000,Kesten Bozinovic,
