Value	Sample	TerminalTaxa
44	MP_E1069_SKQ2021	Pseudo_nitzschia
156	MP_E1069_SKQ2021	Gyrodinium dominans
1	MP_E1069_SKQ2021	Chaetoceros
1	MP_E1069_SKQ2021	Thalassiosira hyalina
26	MP_E1069_SKQ2021	Fragilariopsis oceanica
5	MP_E1069_SKQ2021	Thalassiosira
16	MP_E1069_SKQ2021	Pseudo_nitzschia delicatissima
22	MP_E1069_SKQ2021	Levanderina__f__o
58	MP_E1069_SKQ2021	Levanderina__f
3	MP_E1069_SKQ2021	Shionodiscus sp_ IAL_2014
2	MP_E1069_SKQ2021	Bacillariaceae
1	MP_E1069_SKQ2021	Fragilariopsis reginae_jahniae
50522	MP_E1070_SKQ2021	Unknown
175	MP_E1070_SKQ2021	Peridiniales
2018	MP_E1070_SKQ2021	Gymnodiniales
73	MP_E1070_SKQ2021	Dinophyceae
1055	MP_E1070_SKQ2021	Cylindrotheca closterium
2	MP_E1070_SKQ2021	Pseudo_nitzschia granii
64	MP_E1070_SKQ2021	Chaetocerotales
4	MP_E1070_SKQ2021	Chaetocerotaceae
2	MP_E1070_SKQ2021	Chaetoceros gelidus
753	MP_E1070_SKQ2021	Pseudo_nitzschia pungens
11	MP_E1070_SKQ2021	Pseudo_nitzschia seriata
16	MP_E1070_SKQ2021	Prorocentrum
26	MP_E1070_SKQ2021	Pseudo_nitzschia
467	MP_E1070_SKQ2021	Gyrodinium dominans
1	MP_E1070_SKQ2021	Pseudo_nitzschia delicatissima
6	MP_E1070_SKQ2021	Levanderina__f
2	MP_E1070_SKQ2021	Shimiella gracilenta
2	MP_E1070_SKQ2021	Chaetoceros atlanticus
153750	MP_E1071_SKQ2021	Unknown
3382	MP_E1071_SKQ2021	Peridiniales
12349	MP_E1071_SKQ2021	Gymnodiniales
968	MP_E1071_SKQ2021	Dinophyceae
73	MP_E1071_SKQ2021	Cylindrotheca closterium
31	MP_E1071_SKQ2021	Prorocentrales
3	MP_E1071_SKQ2021	Chaetocerotales
