sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E2000.SKQ23-12S	67.89818	-168.2336	E2000	DBO3.6	52.915	1	0.288	3.3248	43.553	214.443	32.4287	32.44	25.8371	25.8461	2.9507	2.9514	53.456	2023-9-30T4:27:35
E2001.SKQ23-12S	67.89822	-168.23358	E2001	DBO3.6	30.003	10	0.1488	1.3919	70.6117	230.62	32.3564	32.2265	25.7731	25.6695	3.0242	3.0241	30.308	2023-9-30T4:33:1
E2002.SKQ23-12S	67.89834	-168.2338	E2002	DBO3.6	10.181	18	2.271	0.7853	82.1747	324.663	28.266	28.1411	22.4563	22.3571	3.7349	3.7356	10.284	2023-9-30T4:37:46
E2003.SKQ23-12S	68.1326	-167.48632	E2003	DBO3.4	43.698	1	0.1031	1.4373	69.8135	266.912	32.0207	32.0321	25.4574	25.4664	3.5682	3.5695	44.144	2023-10-1T15:45:50
E2004.SKQ23-12S	68.13268	-167.48594	E2004	DBO3.4	29.915	6	0.0857	1.1659	74.7152	266.732	32.014	32.0254	25.4472	25.4562	3.6219	3.6223	30.22	2023-10-1T15:48:37
E2005.SKQ23-12S	68.1327	-167.48587	E2005	DBO3.4	10.384	14	0.1136	0.743	83.0517	279.735	32.001	31.9577	25.4115	25.3631	3.8921	4.0381	10.489	2023-10-1T15:53:24
E2006.SKQ23-12S	68.0118	-167.87296	E2006	DBO3.5	46.872	1	0.1539	1.5855	67.2752	234.781	32.2774	32.288	25.7119	25.7203	3.0023	3.0035	47.351	2023-10-1T18:55:20
E2007.SKQ23-12S	68.01128	-167.87198	E2007	DBO3.5	29.84	9	0.1874	1.4427	69.721	245.569	32.1983	32.209	25.658	25.6665	2.8937	2.8944	30.144	2023-10-1T19:0:15
E2008.SKQ23-12S	68.01076	-167.87125	E2008	DBO3.5	10.278	15	1.5547	0.706	83.8203	300.277	29.7791	29.852	23.5568	23.6136	4.8234	4.832	10.382	2023-10-1T19:4:56
E2009.SKQ23-12S	68.18696	-167.29568	E2009	DBO3..3	41.65	1	0.0996	1.3514	71.331	267.492	32.0532	32.0639	25.5052	25.5127	3.3252	3.3363	42.075	2023-10-2T3:48:32
E2010.SKQ23-12S	68.18692	-167.29566	E2010	DBO3..3	30.296	6	0.0856	1.0279	77.3392	268.587	31.8812	31.8941	25.2332	25.2429	4.7208	4.7265	30.604	2023-10-2T3:51:0
E2011.SKQ23-12S	68.187	-167.29565	E2011	DBO3..3	10.182	13	1.0199	0.6796	84.3751	284.763	29.6246	29.6079	23.2848	23.2718	6.2002	6.1983	10.286	2023-10-2T3:58:0
E2012.SKQ23-12S	68.24656	-167.1226	E2012	DBO3..2	37.813	1	0.101	1.564	67.638	266.624	31.896	31.9082	25.2714	25.2816	4.4659	4.461	38.199	2023-10-2T5:47:53
E2013.SKQ23-12S	68.24616	-167.12294	E2013	DBO3..2	9.935	12	0.5619	0.6619	84.7491	270.228	29.1797	29.1952	22.7747	22.7872	7.4919	7.4898	10.035	2023-10-2T5:56:2
E2014.SKQ23-12S	68.30194	-166.9241	E2014	DBO3.1	29.638	1	0.1212	1.4859	68.9709	264.723	31.8195	31.8304	25.1719	25.1805	4.8378	4.839	29.94	2023-10-2T8:23:34
E2015.SKQ23-12S	68.302	-166.92404	E2015	DBO3.1	10.275	8	1.0073	1.2549	73.0718	286.632	26.0549	26.1114	20.4095	20.453	6.7612	6.7694	10.38	2023-10-2T8:29:36
E2016.SKQ23-12S	65.78194	-168.84239	E2016	BS8	42.846	1	0.7082	0.9726	78.4151	239.609	32.9106	32.922	26.2113	26.2204	3.0691	3.07	43.277	2023-10-3T4:44:18
E2017.SKQ23-12S	65.78176	-168.84292	E2017	BS8	30.378	7	0.8035	0.9249	79.3576	242.055	32.9077	32.919	26.2098	26.2187	3.0606	3.0615	30.683	2023-10-3T4:47:21
E2018.SKQ23-12S	65.78132	-168.8442	E2018	BS8	9.955	14	0.8387	0.6997	83.9509	287.855	32.2129	32.2245	25.5982	25.6076	3.7	3.6991	10.054	2023-10-3T4:54:8
E2019.SKQ23-12S	65.73776	-168.64804	E2019	BS6	45.803	1	1.4119	0.9652	78.5611	243.959	32.5888	32.8139	25.9727	26.1524	2.857	2.8581	46.264	2023-10-3T7:12:31
E2020.SKQ23-12S	65.73768	-168.64844	E2020	BS6	30.033	7	1.1257	0.8529	80.799	255.521	32.5676	32.7151	25.9585	26.0761	2.8254	2.8268	30.335	2023-10-3T7:15:48
E2021.SKQ23-12S	65.73762	-168.64868	E2021	BS6	10.152	13	0.6325	0.655	84.8945	273.797	31.0472	31.2022	24.4644	24.5872	5.7088	5.7069	10.254	2023-10-3T7:20:8
E2022.SKQ23-12S	65.66982	-168.36866	E2022	BS3	47.306	1	0.647	0.8675	80.5038	247.113	32.8615	32.872	26.1762	26.1845	3.0235	3.0246	47.782	2023-10-3T9:55:41
E2023.SKQ23-12S	65.66976	-168.36918	E2023	BS3	30.065	9	0.5927	0.7949	81.9769	245.87	32.8542	32.8645	26.1713	26.1794	3.0125	3.0136	30.366	2023-10-3T9:59:22
E2024.SKQ23-12S	65.6697	-168.3696	E2024	BS3	10.452	15	0.9876	0.7365	83.1829	284.166	28.4055	28.3444	22.3289	22.2823	6.1553	6.1407	10.556	2023-10-3T10:3:38
E2025.SKQ23-12S	65.6182	-168.15364	E2025	BS1	23.594	1	0.9831	1.4231	70.0621	269.081	32.4632	32.4737	25.8114	25.8199	3.5501	3.549	23.83	2023-10-3T12:2:41
E2026.SKQ23-12S	65.61816	-168.15392	E2026	BS1	10.483	9	0.374	0.9167	79.5189	272.987	31.8791	31.8886	25.1735	25.1818	5.2564	5.249	10.588	2023-10-3T12:6:41
