cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd042,11-Sep-20,11:06:42,6,6.0601,88.499,264.115,5.9354,86.678,258.68,31.6364,31.6416,24.7246,24.7294,0.7919,7.3423,7.3362,0.6205,14.159
ctd042,11-Sep-20,11:07:49,7,6.5666,97.035,286.787,6.462,95.49,282.218,29.1358,29.1395,22.5915,22.5944,1.6466,8.5784,8.5788,0.4396,3.385
ctd042,11-Sep-20,11:07:50,8,6.5669,97.043,286.799,6.4574,95.424,282.014,29.1364,29.1402,22.5918,22.5947,1.6677,8.5798,8.5804,0.4407,3.923
ctd046,12-Sep-20,13:26:40,1,7.3015,86.559,317.686,7.1043,84.222,309.108,32.8669,32.8698,26.4363,26.4387,2.1992,-1.3842,-1.3833,2.5282,40.765
ctd046,12-Sep-20,13:26:47,2,7.297,86.506,317.49,7.0971,84.136,308.791,32.8665,32.8694,26.436,26.4383,2.0981,-1.3841,-1.3832,2.4713,40.693
ctd046,12-Sep-20,13:27:53,3,7.5486,89.487,328.438,7.1634,84.92,311.676,32.8656,32.8666,26.4353,26.436,3.9282,-1.3847,-1.3824,1.8379,30.958
ctd046,12-Sep-20,13:27:59,4,7.476,88.648,325.282,7.381,87.522,321.15,32.848,32.8529,26.4206,26.4246,4.1855,-1.3708,-1.3718,1.5918,30.768
ctd046,12-Sep-20,13:29:10,5,7.2136,98.447,314.494,7.0481,96.188,307.278,30.8033,30.8074,24.381,24.3843,0.2606,4.6986,4.698,0.1361,15.384
ctd046,12-Sep-20,13:29:20,6,7.2289,98.651,315.158,7.0669,96.44,308.095,30.805,30.8087,24.3825,24.3855,0.3145,4.6967,4.6967,0.1707,15.414
ctd046,12-Sep-20,13:30:39,7,7.2678,98.626,316.875,7.0977,96.317,309.459,30.7,30.7097,24.3198,24.326,0.2797,4.4929,4.5085,0.1367,2.679
ctd046,12-Sep-20,13:30:41,8,7.2617,98.53,316.61,7.0967,96.291,309.415,30.6957,30.7137,24.3168,24.3287,0.2465,4.4889,4.5127,0.124,2.545
ctd052,13-Sep-20,17:03:55,1,7.3663,87.173,320.471,7.2204,85.447,314.125,32.9949,32.9971,26.5429,26.5447,2.2912,-1.4836,-1.4828,2.8359,36.987
ctd052,13-Sep-20,17:03:57,2,7.3467,86.941,319.618,7.2058,85.274,313.491,32.9946,32.9968,26.5427,26.5445,2.3909,-1.4836,-1.4829,2.7641,36.223
ctd052,13-Sep-20,17:04:30,3,7.3101,86.506,318.028,7.1142,84.188,309.506,32.9929,32.9953,26.5413,26.5432,2.4004,-1.4842,-1.4835,2.2856,30.314
ctd052,13-Sep-20,17:04:31,4,7.2973,86.354,317.47,7.1264,84.332,310.035,32.9928,32.9951,26.5412,26.5431,2.2963,-1.4842,-1.4834,2.3893,30.811
ctd052,13-Sep-20,17:05:38,5,9.5172,120.722,414.738,9.0885,115.284,396.055,31.0625,31.0691,24.8396,24.8459,0.5856,1.679,1.6624,0.2528,16.585
ctd052,13-Sep-20,17:05:39,6,9.5204,120.631,414.879,9.257,117.294,403.403,31.0432,31.06,24.8265,24.8406,0.5748,1.6419,1.6327,0.2468,16.414
ctd052,13-Sep-20,17:06:58,7,7.7695,99.402,339.381,7.6313,97.634,333.344,28.1157,28.1183,22.4073,22.4093,0.4553,2.816,2.8164,0.2274,2.974
ctd052,13-Sep-20,17:07:00,8,7.7843,99.594,340.03,7.6303,97.623,333.303,28.1155,28.1183,22.4071,22.4093,0.4369,2.8165,2.8167,0.243,3.084
ctd053,13-Sep-20,18:33:37,1,6.3553,75.049,276.467,6.2596,73.919,272.303,33.0972,33.0991,26.6287,26.6303,1.0801,-1.5895,-1.5885,2.8858,36.852
ctd053,13-Sep-20,18:33:38,2,6.3539,75.032,276.404,6.259,73.912,272.278,33.0972,33.0991,26.6288,26.6303,1.0846,-1.5897,-1.5887,3.0929,38.227
ctd053,13-Sep-20,18:34:37,3,6.36,75.115,276.67,6.1835,73.031,268.994,33.0911,33.0932,26.6237,26.6254,1.2161,-1.5827,-1.5819,2.0302,29.559
ctd053,13-Sep-20,18:34:39,4,6.3493,74.989,276.206,6.1837,73.034,269.004,33.0906,33.0929,26.6232,26.6251,2.9036,-1.5825,-1.5818,1.2346,29.598
ctd053,13-Sep-20,18:35:40,5,7.9432,104.957,346.323,7.7349,102.205,337.242,30.5665,30.5704,24.311,24.3137,0.3216,3.4411,3.4458,0.1545,14.738
ctd053,13-Sep-20,18:35:42,6,7.9808,106.765,347.981,7.708,103.115,336.085,30.5574,30.5484,24.2589,24.2507,0.3653,3.946,3.9574,0.1686,14.186
ctd053,13-Sep-20,18:36:43,7,7.7524,99.372,338.63,7.5198,96.391,328.473,28.1363,28.139,22.4187,22.4209,0.4046,2.8859,2.8857,0.2549,2.251
ctd053,13-Sep-20,18:36:44,8,7.7514,99.359,338.586,7.5248,96.454,328.688,28.1364,28.1389,22.4189,22.4209,0.4077,2.8857,2.8856,0.2362,3.152
ctd047,12-Sep-20,15:31:32,1,7.9958,95.263,347.918,7.7743,92.625,338.282,32.7855,32.7884,26.3643,26.3666,1.223,-1.1772,-1.1762,1.3344,40.559
ctd047,12-Sep-20,15:31:34,2,7.9947,95.251,347.872,7.77,92.574,338.096,32.7851,32.7883,26.364,26.3665,1.2279,-1.177,-1.1762,1.398,40.934
ctd047,12-Sep-20,15:32:24,3,7.9986,95.301,348.043,7.7751,92.638,338.317,32.7829,32.7859,26.3621,26.3645,1.2171,-1.175,-1.1741,1.2366,30.773
ctd047,12-Sep-20,15:32:26,4,8.0031,95.355,348.24,7.7749,92.636,338.311,32.7829,32.7864,26.3621,26.3649,1.2588,-1.175,-1.1746,1.2643,30.494
ctd047,12-Sep-20,15:33:37,5,7.1817,98.554,313.094,6.9967,96.016,305.03,30.8574,30.8618,24.4017,24.4051,0.4284,4.9132,4.9142,0.1942,15.968
ctd047,12-Sep-20,15:33:39,6,7.1625,98.282,312.258,6.9839,95.831,304.47,30.8564,30.8617,24.4012,24.4051,0.4647,4.9098,4.9133,0.1952,15.684
ctd047,12-Sep-20,15:34:34,7,7.1921,98.728,313.551,6.9976,96.058,305.071,30.8523,30.8556,24.3961,24.3987,0.4676,4.9276,4.9286,0.1898,2.598
ctd047,12-Sep-20,15:34:35,8,7.1732,98.467,312.725,7.0071,96.188,305.486,30.8522,30.8557,24.3961,24.3988,0.5082,4.9271,4.9274,0.1886,2.363
ctd051,13-Sep-20,15:08:14,1,7.1061,85.104,309.078,10.1329,121.354,440.729,33.3158,32.7325,26.7926,26.3197,4.5138,-1.1238,-1.1257,2.9957,38.17
ctd051,13-Sep-20,15:08:16,2,7.0686,84.756,307.457,10.0759,120.815,438.26,33.2782,32.7321,26.7603,26.3194,4.5737,-1.0692,-1.1245,2.9748,36.835
ctd051,13-Sep-20,15:09:23,3,7.0778,84.308,308.057,10.2577,122.186,446.46,32.4496,32.7271,26.0895,26.3152,4.5544,-1.0965,-1.122,2.0995,29.464
ctd051,13-Sep-20,15:09:25,4,6.9909,83.25,304.28,10.2447,121.997,445.901,32.4352,32.7271,26.078,26.3152,4.3923,-1.1033,-1.1219,2.1146,29.407
ctd051,13-Sep-20,15:10:27,5,6.2887,81.03,274.519,8.6424,111.357,377.262,28.9621,30.5372,23.0784,24.3289,0.7518,2.8686,2.9414,0.2477,15.566
ctd051,13-Sep-20,15:10:29,6,6.2944,81.432,274.777,9.2031,119.062,401.752,28.9365,30.0315,23.0454,23.9053,0.7099,3.0368,3.1975,0.2283,14.671
ctd051,13-Sep-20,15:11:51,7,7.3402,93.852,320.73,7.6217,97.451,333.031,27.713,27.754,22.0803,22.1129,0.4174,2.9007,2.9014,0.2283,4.878
ctd051,13-Sep-20,15:11:52,8,7.4112,94.735,323.843,7.5825,96.925,331.331,27.6755,27.753,22.0504,22.1121,0.3954,2.9003,2.9015,0.2184,4.642
ctd045,12-Sep-20,9:14:17,1,8.1836,97.983,356.17,7.9596,95.302,346.423,32.516,32.5184,26.1377,26.1397,0.752,-0.9216,-0.9203,1.822,36.016
