reads.in	reads.out
MP_E450_2B_PCR3_R1_trimmed.fq.gz	103648	98655
MP_E450_3B_MiFishMod_R1_trimmed.fq.gz	100156	95369
MP_E450_3B_PCR2_R1_trimmed.fq.gz	108011	102346
MP_E450_3B_PCR3_R1_trimmed.fq.gz	110916	105363
MP_E474_MiFishMod_R1_trimmed.fq.gz	135229	129665
MP_E475_PCR2_R1_trimmed.fq.gz	103083	97006
MP_E475_PCR3_R1_trimmed.fq.gz	109490	104320
MP_E486_PCR2_R1_trimmed.fq.gz	123478	115023
MP_E486_PCR3_R1_trimmed.fq.gz	128325	122350
MP_E491_MiFishMod_R1_trimmed.fq.gz	100838	94047
MP_E492_1B_PCR2_R1_trimmed.fq.gz	156389	147735
MP_E492_1B_PCR3_R1_trimmed.fq.gz	42692	40743
MP_E494_PCR2_R1_trimmed.fq.gz	106323	100507
MP_E494_PCR3_R1_trimmed.fq.gz	91163	86243
MP_E496_1T_PCR2_R1_trimmed.fq.gz	91063	85451
MP_E496_1T_PCR3_R1_trimmed.fq.gz	106965	101098
MP_E496_3B_PCR2_R1_trimmed.fq.gz	96239	91183
MP_E496_3B_PCR3_R1_trimmed.fq.gz	96481	91224
MP_E498_1B_PCR2_R1_trimmed.fq.gz	98418	93040
MP_E498_1B_PCR3_R1_trimmed.fq.gz	89003	83197
MP_E498_2B_PCR2_R1_trimmed.fq.gz	94117	87866
MP_E498_2B_PCR3_R1_trimmed.fq.gz	115961	108673
MP_E498_3B_PCR2_R1_trimmed.fq.gz	102516	94750
MP_E498_3B_PCR3_R1_trimmed.fq.gz	96983	91781
MP_E573_1B_PCR2_R1_trimmed.fq.gz	129124	118856
MP_E573_1B_PCR3_R1_trimmed.fq.gz	100640	95608
MP_E573_2B_PCR2_R1_trimmed.fq.gz	140141	132686
MP_E573_2B_PCR3_R1_trimmed.fq.gz	140829	133769
MP_E573_3B_PCR2_R1_trimmed.fq.gz	130696	123446
MP_E573_3B_PCR3_R1_trimmed.fq.gz	145464	136996
MP_E574_1B_PCR2_R1_trimmed.fq.gz	111244	103683
MP_E574_1B_PCR3_R1_trimmed.fq.gz	121741	114535
MP_E574_2B_PCR2_R1_trimmed.fq.gz	104751	98877
MP_E574_2B_PCR3_R1_trimmed.fq.gz	101481	96223
MP_E574_3B_PCR2_R1_trimmed.fq.gz	102696	97471
MP_E574_3B_PCR3_R1_trimmed.fq.gz	93858	89134
MP_E575_1B_PCR2_R1_trimmed.fq.gz	53687	51623
MP_E575_1B_PCR3_R1_trimmed.fq.gz	40674	39049
MP_E575_2B_PCR2_R1_trimmed.fq.gz	77252	72884
MP_E575_2B_PCR3_R1_trimmed.fq.gz	78907	74119
MP_E575_3B_PCR2_R1_trimmed.fq.gz	122874	118025
MP_E575_3B_PCR3_R1_trimmed.fq.gz	73596	67352
MP_E598_1B_PCR2_R1_trimmed.fq.gz	152118	144203
MP_E598_1B_PCR3_R1_trimmed.fq.gz	112790	103805
MP_E598_2B_PCR2_R1_trimmed.fq.gz	122969	116170
MP_E598_2B_PCR3_R1_trimmed.fq.gz	117436	111425
MP_E598_3B_PCR2_R1_trimmed.fq.gz	118572	113127
MP_E598_3B_PCR3_R1_trimmed.fq.gz	109238	102377
MP_E600_1B_PCR2_R1_trimmed.fq.gz	82455	77987
MP_E600_1B_PCR3_R1_trimmed.fq.gz	91682	86635
MP_E600_2B_PCR2_R1_trimmed.fq.gz	106568	101296
MP_E600_2B_PCR3_R1_trimmed.fq.gz	106412	101011
MP_E600_3B_PCR2_R1_trimmed.fq.gz	113866	106067
MP_E600_3B_PCR3_R1_trimmed.fq.gz	135936	129542
MP_E610_NC_R1_trimmed.fq.gz	1940	1706
MP_E690_MiFishMod_R1_trimmed.fq.gz	126409	121960
MP_POSITIVE_R1_trimmed.fq.gz	118650	110725
