Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E995_1T_NA128	ASV_293	1027	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
MP_E820_WCOA21	ASV_294	183	Eukaryota	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia		
MP_E882_1B_WCOA21	ASV_294	840	Eukaryota	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia		
MP_E994_2T_NA128	ASV_295	213	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E1632_Chaba22	ASV_295	482	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E1634_Chaba22	ASV_295	234	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E2139_2T_QiavacTest	ASV_295	37	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E2141_Kotzebue23	ASV_295	47	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E1011_2T_NA128	ASV_296	1012	Eukaryota							
MP_E977_2T_NA128	ASV_297	575	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E978_2T_NA128	ASV_297	425	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E2084_SKQ23_12S	ASV_297	11	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1626_1B_Chaba22	ASV_298	1003	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	(human)
MP_E994_2T_NA128	ASV_299	174	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E1625_1B_Chaba22	ASV_299	645	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E1634_Chaba22	ASV_299	96	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E2139_1T_QiavacTest	ASV_299	35	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E2139_2T_QiavacTest	ASV_299	46	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E2139_3T_QiavacTest	ASV_299	5	Eukaryota	Chordata	Mammalia	Primates	Hominidae			
MP_E973_1T_NA128	ASV_3	61323	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
