
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E2131_5B	78.9%	65.2%
MP_E2132_1B	93.0%	83.5%
MP_E2132_2B	90.8%	80.9%
MP_E2132_3B	91.5%	80.5%
MP_E2132_4B	98.4%	88.8%
MP_E2132_5B	95.6%	62.1%
MP_E2133_1B	90.2%	78.8%
MP_E2133_2B	97.3%	76.4%
MP_E2133_3B	96.3%	83.8%
MP_E2133_4B	94.9%	80.2%
MP_E2133_5B	94.4%	82.4%
MP_E2134_2B	94.6%	69.2%
MP_E2134_4B	96.8%	66.1%
MP_E2134_5B	90.5%	78.9%
MP_E2135_2B	93.2%	82.0%
MP_E2135_3B	91.2%	80.7%
MP_E2135_4B	92.9%	81.2%
MP_E2135_5B	92.6%	80.8%
MP_E2136_2B	86.6%	60.9%
MP_E2136_3B	93.4%	81.0%
MP_E2136_4B	90.2%	79.8%
MP_E2136_5B	90.8%	79.6%
MP_E2137_1B	76.5%	67.3%
MP_E446_1B_PCR2	95.8%	85.2%
MP_E446_1B_PCR3	95.8%	86.4%
MP_E446_2B_PCR2	98.5%	81.3%
MP_E446_2B_PCR3	97.4%	80.2%
MP_E446_3B_PCR2	98.6%	80.8%
MP_E446_3B_PCR3	97.9%	83.7%
MP_E447_1B_MiFishMod	95.0%	74.5%
MP_E447_1B_PCR2	95.0%	76.9%
MP_E447_1B_PCR3	94.9%	79.0%
MP_E447_2B_MiFishMod	95.6%	80.9%
MP_E447_2B_PCR2	94.6%	79.5%
MP_E447_2B_PCR3	94.9%	80.2%
MP_E447_3B_MiFishMod	99.3%	66.9%
MP_E447_3B_PCR2	99.8%	67.3%
MP_E447_3B_PCR3	99.8%	67.3%
MP_E448_1B_PCR2	96.5%	76.1%
MP_E448_1B_PCR3	96.5%	76.7%
MP_E448_2B_PCR2	97.2%	76.2%
MP_E448_2B_PCR3	96.6%	76.4%
MP_E448_3B_PCR2	90.4%	80.2%
MP_E448_3B_PCR3	98.5%	75.7%
MP_E449_1B_PCR2	99.5%	75.0%
MP_E449_1B_PCR3	99.4%	74.9%
MP_E449_2B_PCR2	99.7%	75.8%
MP_E449_2B_PCR3	99.7%	76.8%
MP_E449_3B_PCR2	99.4%	81.8%
MP_E449_3B_PCR3	99.4%	80.5%
MP_E450_1B_MiFishMod	99.3%	72.6%
MP_E450_1B_PCR2	99.0%	82.4%
MP_E450_1B_PCR3	99.6%	77.3%
MP_E450_2B_MiFishMod	99.4%	68.4%
MP_E450_2B_PCR2	99.3%	78.6%
MP_E450_2B_PCR3	99.4%	76.4%
MP_E450_3B_MiFishMod	99.2%	76.6%
MP_E450_3B_PCR2	99.4%	84.5%
MP_E450_3B_PCR3	99.5%	79.7%
MP_E474_MiFishMod	99.3%	67.6%
MP_E475_PCR2	99.7%	78.8%
MP_E475_PCR3	99.4%	80.3%
MP_E486_PCR2	98.2%	81.4%
MP_E486_PCR3	97.8%	82.2%
MP_E491_MiFishMod	95.7%	79.6%
MP_E492_1B_PCR2	96.4%	81.4%
MP_E492_1B_PCR3	96.9%	78.3%
MP_E494_PCR2	95.3%	86.0%
MP_E494_PCR3	93.5%	84.4%
MP_E496_1T_PCR2	93.9%	83.9%
MP_E496_1T_PCR3	95.3%	82.6%
