Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
MP_E1276_OC1021	47.87788333	-124.739	E1276.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
MP_E1277_OC1021	47.87788333	-124.739	E1277.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
MP_E1278_OC1021	47.87788333	-124.739	E1278.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
MP_E1279_OC1021	47.87788333	-124.739	E1279.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1280_OC1021	47.87788333	-124.739	E1280.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1281_OC1021	47.87788333	-124.739	E1281.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1282_OC1021	47.87788333	-124.739	E1282.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1283_OC1021	47.87788333	-124.739	E1283.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1284_OC1021	47.87788333	-124.739	E1284.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1285_OC1021	47.87788333	-124.739	E1285.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1286_OC1021	47.87788333	-124.739	E1286.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1287_OC1021	47.87788333	-124.739	E1287.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1288_OC1021	47.87788333	-124.739	E1288.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1289_OC1021	47.87788333	-124.739	E1289.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1290_OC1021	47.87788333	-124.739	E1290.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1291_OC1021	47.87788333	-124.739	E1291.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1292_OC1021	47.87788333	-124.739	E1292.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1293_OC1021	47.87788333	-124.739	E1293.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1294_OC1021	47.87788333	-124.739	E1294.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1295_OC1021	47.87788333	-124.739	E1295.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
MP_E1296_OC1021	47.87788333	-124.739	E1296.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
